season,episode,scene,line_text,speaker,deleted
4,14,52,"There is a raccoon in the car, Dwight!",Michael,False
5,3,5,"I'm right here, I'm right here.",Michael,False
3,5,29,Depression?,Ryan,False
5,2,6,"I once reported Oscar to the INS.  Turns out he's clean, but I'm glad I did it.",Angela,False
3,10,45,"Oh, you're kidding me?",Karen,False
6,24,18,"So now everyone hates Andy, and it's this whole mess, and I don't know what to do.",Pam,False
2,12,17,"Wuh, how, how old are you? Look, the point is, I am the only one here who has a legitimate disability, although I'm sure Stanley has had his fair share of obstacles.",Michael,False
4,4,64,"Yeah, tell me about it.",Michael,False
9,8,34,"Phyllis, what was that?Phyllis are you dreaming, or--",Jim,False
1,3,15,Kevin! That's inappropriate.,Angela,False
3,8,33,[in video] I am so scared... when people don't label their personal food.,Michael,False
5,19,3,I looked at Wallace and I said 'I quit!' and as I turned to leave I looked back and I said 'You have no idea how high I can fly.',Michael,False
7,9,4,Mm-Hmm?,Pam,False
6,5,1,What?,Michael,False
1,4,51,It was rotting.,Dwight,True
2,12,4,I'm coming Michael!,Dwight,False
5,13,41,Oh...,Michael,False
8,3,5,"When I worked in the warehouse, I was part of that lotto pool. They won playing my birthday.",Darryl,False
6,7,32,"Mm... I'm, know what? Maybe we should go easy on Michael, guys. You know, you watch that tape and you're gonna have to stay late for more sensitity training, so...",Jim,False
3,11,26,"Uh, I think you dropped this [hands over piece of paper]",Jim,False
9,1,44,I will?,Pam,False
2,3,16,It's a very gay-friendly neighborhood.,Carol,False
9,7,17,I think the senator is having an affair.,Angela,False
9,13,46,"Oh, I'm sorry. You gotta be this cool for coffee.",Clark,False
1,1,32,Pudding. Pudding... I'm trying to think of another dessert to do.,Michael,False
2,12,4,Is he ok?,Pam,False
7,23,29,Pam made me put a banana in my holster.,Dwight,False
4,13,28,"All of these jobs? Suck. I would rather live jobless, on a beach somewhere, off the money from a large inheritance, than to have to work in any one of these crap-holes. They suck.",Michael,False
7,10,17,This is possibly our new Dunder Mifflin office.,Pam,False
8,21,35,Dwight couldn't get it up for Nellie?,Kevin,False
6,4,14,"[in car] Hey, my aunt told me something neat.",Pam,False
8,24,17,Alright. Why don't you just-,Jim,False
3,4,21,"Was its heart beating, Toby?  Did you check it?  No, of course you didn't.  You're not a veterinarian.  You don't know ANYTHING! [runs out of conference room crying]",Michael,False
3,23,42,"Well, I um, I have to get back, but I will see you in New York tomorrow, right?",Jan,False
9,19,33,There's someone else I need to thank. His name is Oscar Martinez.,Robert,False
7,6,6,"[looks at the clock, then at his watch] Hold up! That clock is slow. It is five o'clock, I will see you all tomorrow:",Stanley,False
6,7,29,"Message received, little soy bean.",Andy,False
8,8,34,You guys came.  Where's everyone else?,Andy,False
2,3,6,You have your lawyer there?,Dwight,False
5,10,28,"Okay, no, that's not what we're going for.  Who has a problem with Meredith's drinking?  It has to bother you.  It bothers me. Right? How does it bother you?  Dwight, don't you have anything?",Michael,False
5,15,26,"Oh, Michael...",Pam,False
6,18,14,I'll give you the leads. But you know what? It's going to cost you some clerical work [hands her a mountain of paperwork],Angela,False
3,7,34,"Okay, forget it. [walks away]",Phyllis,False
1,6,35,You got that?,Katy,False
3,17,4,"I cannot tell you how I plan to escape. Other than by using magic. That is the magician's code. Separately, on an unrelated note, if you happen to find a small brass key...",Michael,False
3,18,19,This is too good.,Darryl,False
2,1,15,What were you doing in the ladies room?!,Phyllis,False
9,1,37,This seems like the kind of thing white people with dreadlocks do.,Darryl,False
6,10,23,"Make it a softball. Something he can, like, crank out of the park.",Andy,False
5,13,2,What?!,Jim,False
5,20,11,We'll find him.,Pam,False
8,22,32,"Thank you very much! All I had to do was look at the prices, idiots! Suck it!",Dwight,False
5,9,23,"Pam, would you stand up for a sec? [sits in Pam's chair] Hmm. See how relaxed I am? I like this chair. [slowly sinking into the chair] Offers good support, it is urkelnomically correct... it's a good chair. I think we're spoiled because we don't appreciate the things that we have. You think kids in Africa have chairs? No. They sit in big piles of garbage. You think they have copiers?  [the chair has slowly lowered itself almost to where Michael is not visible over the desk] They don't have copiers. They don't even- [struggles to get up from Pam's chair] Gah! They don't even have paper. And we are spoiled because we throw out perfectly good tiramisu because it has a little tiny hair on it. My point I this: I have seen the light in terms of what we need, and it is nothing.",Michael,False
5,18,3,"Well, I'm sorry, I just don't know what classy is then.",Dwight,False
1,6,35,"See you later. Goodnight. Goodnight, Jim.",Michael,False
3,8,57,"Michael, I would just like to say you have handled this entire situation with great aplomb.",Andy,False
9,23,26,"Wow! That sounds incredible. [checking cell phone]. Oh, guys. Limo's here. Let's do this. Change if you need to.",Jim,False
6,12,19,I'm doing something over here.,Ryan,False
7,3,6,Hour forty-five.,Andy,False
3,10,16,No.,Angela,False
8,18,6,"[sarcastically] Oh my gosh, thank you Jim, that's so thoughtful. [sets gift on golf tee] Four! [smashes gift] Oh yeah!",Dwight,False
3,22,41,"Nice, Stanley!",Michael,False
5,5,27,It's pronounced Ker-nell. It's the highest rank in the military.,Creed,False
9,18,4,Can we skip the color commentary and just have Andy go out there and fire her?,Angela,False
4,2,62,"Yeah, maybe we should, maybe we should leave. Come on, let's leave, but before we leave my wet friend and I are going to wait for our cabs on yours nice couches! [sits on couch]",Michael,False
6,23,41,"[driving in car; returns to office; grabs ice cream out of freezer] How do I feel about breaking up with Donna? Good. Moral. I feel proud. [beeping; cut to Donna who is waiting in the parking lot of the motel] Like a grownup.[Donna receives text from phone] That was not easy because I really liked her a lot. And I'm a little bit emotional right now because I know that I absolutely made the right decision. [Donna has disappointed look; cut back to Michael in his office opening ice cream] At the end of the day, we have to do what's right. And it was either living with myself or... being happy. And I picked... the... former.",Michael,False
6,15,1,No. [to hotel employee on phone] We're trying to look it up right now.,Michael,False
9,5,29,What?,Pam,False
4,8,33,[laughs out loud] Excuse me.,Toby,False
5,7,24,Is somebody there?,Andy,False
6,12,14,"If this were Russia, yeah sure. Everyone would go to one Santa, and there would be a line around the block and once you sat on her lap and she'd ask you what you wanted, you would say probably 'freedom.' At which point the KGB would arrest you and send you to Siberia. It's a good thing Russia doesn't exist anymore.",Michael,False
4,4,8,You do.,Jan,False
7,9,28,"Yeah, but in a jokey way where you're gonna start singing.",Pam,False
3,18,38,Alright.,Toby,False
8,21,14,"Sorry, just to be clear, you're saying do NOT shake the baby.",Jim,False
2,6,12,Because we're friends.,Dwight,False
6,2,24,Really?,Jim,False
7,24,67,"No, no, no. Not ever, 'cause that's not gonna happen.",Jim,False
4,2,54,Hey Pam. I haven't settled on our final design logo yet for Dunder Mifflin Infinity and I know you're into graphic design. Do you want to give it a shot? Maybe try and deisgn the logo?,Ryan,False
2,22,42,"Oh, me too. Me too.",Jan,False
2,11,39,Definitely some place you can swim.,Kelly,True
6,24,5,"Jo, I think that I know what happened.",Kevin,False
9,16,1,I wouldn't own the company if it wasn't for you. So...I owe you that.,David,False
3,2,43,"Oh, God, I hope it's urine.",Michael,False
9,13,24,So how'd you guys hear about the position?,Clark,False
2,18,34,"So, Melissa... I met your mom a couple times. She's",Pam,False
7,10,22,"I understand it, I can't speak it.",Creed,False
2,5,5,It's gonna be fun.,Michael,False
8,5,40,No. That is just a bunch of people participating in a collective thing that maybe the Eagles will hear about and want to play better. It's not...,Jim,False
9,4,13,A dozen different pies? Cause that means rhubarb.,Pam,False
7,24,66,What is happening right now?,Jim,False
2,20,40,Whoa.,Jim,True
6,11,5,Nip slip.',Erin,False
7,4,5,"Yeah, go away. [Kelly nodding]",Pam,False
4,14,34,"Ohh, so you can't make my orgy? Kidding!",Holly,False
5,25,46,I would invite you but I remember that you just want to be friends.,Kevin,False
7,17,17,"I mean, it's pretty broken already.",Andy,False
4,1,86,"My cousin Mose's best friend was a dog.  One day, he was foaming at the mouth, so I had to shoot him dead.  Turns out, he had only eaten one of Mose's cream pies.  Did I feel bad for killing him?  No.  That's how you deal with a thief.",Dwight,False
4,14,17,I want to introduce you to...,Toby,False
3,5,20,I'm just saying hi to Bob.,Phyllis,False
6,15,1,"Hello Vancouver, this is Michael Scott calling from the United States of America!  I have a reservation in your fair city from February 12th to the 19th, first week of the Olympics.",Michael,False
7,24,16,Bread is the paper of the food industry. You write your sandwich on it.,Dwight,False
4,3,62,Thank God.,Oscar,False
6,15,20,"Well, according to the manual, there is no cap on commissions. I have been hustled.",Michael,False
4,14,36,I shredded it.,Angela,False
7,4,5,[seeing the worker Dwight picked up in the parking lot] Who's this guy by our cars?,Angela,False
5,15,28,She still has feelings for you.,Pam,False
9,5,25,"And I told Phyllis not to put it out, but she insisted. So, anyway... Hi! Oh, Oscar, remember my husband, the senator?",Angela,False
8,15,10,"I'm fine, okay? It's just stress. You know, 'cause I care about this project. And frankly the fact that none of you are vomiting or diarrheal right now I find very alarming.",Dwight,False
7,23,17,You can't fire me. You're acting manager. Not office manager. So you have no firing powers.,Jim,False
7,13,27,Put the 'q' there! [phone rings] Sorry I yelled.,Oscar,False
2,12,31,Dwight... [to Jim] You just keep your eyes on the road. [to Dwight]  Give me the bottle or you're fired.,Michael,False
8,2,19,"Ooh I didn't mean to offend you, and I hope you'll forgive me because I am very very, Sari. [tosses yellow print material over shoulder] Sixteen points.",Andy,False
3,4,14,"You really don't get it, do you?  You don't understand these people.  That is the last thing that they would want is a day off.",Michael,False
9,8,33,I don't like him either. Ã¯Â¿Â½Ã¯Â¿Â½And yet I really like him.,Dwight,False
5,25,14,I love it.,Michael,False
3,13,24,No.,Stanley,False
8,1,24,It can't be nothing.,Dwight,False
2,10,73,"So, I guess, you really didn't want the shower radio that bad. No, I just like tea.",Kelly,True
3,13,24,"Yes, he did. Have any of you talked to Dwight?",Michael,False
9,2,39,"For Channel 11 news, I'm Erin Hannon.",Erin,False
6,22,10,"$100 a day, plus expenses.",Dwight,False
4,2,39,"Mmhmm, sweet, chocolate turtles.",Andy,False
2,6,40,Yes.,Michael,True
2,10,36,"Well, I mean, it's an iPod. But ..",Pam,False
2,17,39,No revolution is worth anything unless it can defend itself. [bangs fists],Dwight,False
6,17,16,"I'm a little sick but I don't want to miss my date with Andy. I'll get better. Whenever I'm sick it goes away within a few hours. Except once, when I was in the hospital from age three to six.",Erin,False
8,2,29,AHHHHH!!!!!!!,Andy,False
9,6,48,Ok.,Pete,False
2,21,38,I am not bluffing!,Dwight,False
7,8,35,Are you alright?,Phyllis,False
8,12,13,"I'm feeling eighty-two, eighty-two and a half.",Gabe,False
2,6,24,Hey!,Michael,False
4,11,12,Well it has been nice seeing you again my friend.,Michael,False
1,1,36,Do I think I'll be invited to the wedding? [scratches head],Jim,False
7,11,21,"No, it has the little...",Pam,False
7,17,2,Perhaps.,Dwight,False
5,24,31,"Well, that's--",Jim,False
7,17,21,"Kevin, do you accept the apology?",Michael,False
7,17,4,"It was the best of times, it was the awesomest of times. And now Packer wants to come home. And ohh, look who's here to sign off on it! My boo, Holly.",Michael,False
9,5,9,No. Nope. Nope nope nope. Stay away.,Andy,False
2,8,32,"And you were very sweet, and you stayed up with me and talked with me, cried with me, and I appreciate that-",Jan,False
4,12,27,"You just, do, and I don't know why, so... please help me understand.",Michael,False
3,19,5,"Jim, could you please inform Andy Bernard that he is being shunned.",Dwight,False
8,20,1,"Okay, the man's worked here for 25 years. How can none of us picture his face?",Jim,False
8,21,27,I saw you were getting along with Ryan again.,Pam,False
1,2,42,How embarrassing is it? That's not fair. Here...,Jim,True
5,3,3,Michael! My water's breaking!,Dwight,False
6,7,34,See what?,Jim,False
2,15,18,"So, we're cool, right?",Roy,False
7,22,17,Seriously?,Jim,False
3,18,19,[Darryl laughs] I do not buy woman's clothes.  I would not make that mistake again.,Michael,False
6,15,38,"[cell phone rings] Oh, I gotta take this. Yep. Uh, finish walking my dogs for me. And don't ride 'em. Lotta people try to ride 'em.",Jo,False
5,6,20,Hobos live in trains.,Andy,False
5,22,16,No.,Dwight,False
5,21,26,You're working hard? On this?,Charles,False
2,16,7,That's OK.,Pam,False
3,10,48,"OK, where is everybody? I would like them to meet my new girlfriend. [Guys walk in with two different waitresses from Benihana's]",Michael,False
8,12,26,You're in my way!,Angela,False
2,19,6,Mmm. Maybe I should get one.,Dwight,False
3,6,16,No...,Michael,False
2,11,6,I took the tags off already.,Kelly,False
9,20,22,Sorry.,Andy,False
9,16,20,No overlap? Great. Good. Wow. This is suddenly so easy. Guess what? You're fired!,Andy,False
5,5,44,[laughs],Michael,False
6,12,33,When? When did he tell you? Today?,Dwight,False
4,6,45,"Utica is snoozeville, um, Albany are the prepsters, Nashua, no parking, um, Akron is haunted, Camden... is in a basement, Yonkers has the two hot girls, and here in Scranton, we are the cool guys.",Michael,False
6,16,52,"Okay, hold on.  Whoa, whoa, whoa.  You got to let the cookies cool before you pop 'em in your mouth.  Why don't you guys get to know each other?  Maybe have lunch together?",Michael,False
8,24,35,"Well, okay. Great to meet you.",David,False
6,5,13,Well you're gonna have to. [overlaps] Dwight: We'll be right beside you.,Andy,False
7,20,2,Congratulations!,DeAngelo,False
3,10,10,"No, Carol. You walk out that door and it is over.",Michael,False
8,3,14,Oh yeah.,Darryl,False
4,4,84,I'm... discombobulated.,Dwight,False
5,17,14,"No, they can't.",Michael,False
5,8,16,What's that?,Michael,False
5,25,45,K,Andy,False
3,17,9,I am on my way. I should be there in about 15...,Michael,False
4,4,49,She's very religious.,Pam,False
5,19,8,"Uh, I need you to go over this client list and indicate any wrong or false data.",Charles,False
6,2,25,I tried to keep Michael in the dark.  I should have known that he can do just as much damage in the dark.,Jim,False
3,23,63,...what do you think about Michael Scott?,David,False
2,9,20,You have plans.,Michael,False
4,8,35,...Absolutely not.,Michael,False
8,1,35,"I knew it. I just knew, my whole life, that everyone was wrong about me. My parents, my teachers, my friends, the doctors. Everyone.",Kevin,False
8,16,39,It has been delivered.,Val,False
6,18,14,Are you gonna give me the leads or not?,Phyllis,False
2,12,23,Ok.,Ryan,False
4,4,91,Angela - she used to stay here sometimes?,Pam,False
5,26,14,"I lied to Kevin. Holly and I can never be just friends. I wrote down a list of bullet points why Holly and I should be together, and I'm going to find the perfect moment today and I am going to tell her. Number one: 'Holly, you and I are soup snakes.' The-and the reason is... because... in terms of the soup, we like to- that doesn't make any sense. We're soul mates. Holly and I are soul mates.",Michael,False
4,14,28,Close.,Jim,False
9,15,23,"Well, there's one problem. Couldn't help but notice that you offered a price point that was not approved by the head office. So... gotta run that stuff by me, Dwight.",Andy,False
1,4,5,Who is it? Who's the birthday?,Michael,False
7,23,32,"Nine, eight, five...",Angela,False
9,13,13,[laughs] No earbuds! [both laugh],Dwight,False
2,22,49,"Well, you should.",Jan,False
9,14,19,"OK, OK. I think it's time to get back to work. Come on, fellas. Let's go.",Val,False
8,23,28,I'll stall him. Go!,Dwight,False
5,15,19,"Ooh. Ouch. Okay, good. You're funny, very good and funny. Tell me, A.J., are you dating? Is there somebody you date?",Michael,False
5,22,25,Wow. High score?,Michael,False
3,21,6,I don't know. I feel... I drive a lot. I'm spending a fortune on gas and tolls -,Michael,False
7,11,12,"[mocking] Oh, my God! It's the first snowfall of Christmas. Is that just so magical for you, little girl? Can you not wait to have a hot chocolate, and cuddle up with Papa and tell him about all your Christmas dreams, hmm? It's not even a real snow. Look, it's a dusting. Pitiful.",Dwight,False
9,7,1,"No, Walter J has been hoarding it. You want to worry about a part of my body, worry about my eyes.  They're like two flaming meatballs in my skull.",Andy,False
7,11,57,And the game's over seconds later.,Darryl,False
7,6,30,Oooh! You can't handle the truth! [laughs],Jim,False
3,21,6,"[on speakerphone] Michael, ...",Jan,False
3,18,46,I know.,Pam,False
3,8,66,"Good, what's funny?",Michael,False
7,15,26,No time to chat.,Andy,False
8,2,33,Fine.,Pam,False
3,6,2,"Tonight, one of our most ethnic co-workers, Kelly, has invited us all to a Diwali celebration put on by her community. What is Diwali, you may ask? Well, to have Kelly explain it [girly voice] it's ada blah blah blah, it's so super fun and it's going to be great. [normal voice] Lot of gods with unpronounceable names. Twenty minutes later you find out that is essentially a Hindu Halloween.",Michael,False
7,14,19,"Well, I think I can get through the door.",Michael,False
6,22,22,...poop my pants.,Michael,False
7,11,4,Merry Christmas.,All,False
9,8,32,"Well, a woman who struggled with obesity all her life.",Pete,False
4,5,26,"You're right, it's better than you! It's us! [sings] Dunder Mifflin.",Darryl,False
3,23,52,My first order of business: make Andrew Bernard my number two.,Dwight,False
6,4,46,I love finding a good set of twins.,Dwight,False
9,15,17,Andy!,Erin,False
7,11,51,"Mmm. Erin, would you do me a favor and find my street clothes for me, please?",Michael,False
6,7,7,You should give them a call. Check that out.,Michael,False
8,8,31,Dwight ' this is one of the archivists here.  I thought maybe we could consult him.,Oscar,False
2,1,73,The Dundies!,Dwight,False
2,3,51,Nothing.,Jim,False
7,11,73,I mean... [speechless],Jim,False
1,6,33,That's cool.,Pam,False
4,9,5,How are you?,Jan,False
3,8,36,[recording] This is Karen Filippelli. Please leave a message.,Karen,False
7,5,35,Scoopity-splash!,Darryl,False
9,21,43,This is your'you brought this on.,Andy,False
9,8,36,Uh... wow....,Toby,False
6,14,29,Do it.,Jim,False
2,22,16,It's Casino Night like Las Vegas. There are fire-eaters all over the place.,Michael,False
2,17,18,Brad Pitt. Also there will be no bonuses.,Dwight,False
2,1,57,"Goodnight, have a good night. Thank you Angela.",Jim,False
5,23,20,What is wrong with you?,Charles,False
2,14,37,[walking by with new carpet] What... What's that?  Whatcha doing?,Darryl,False
5,20,7,No it's not.,Jim,False
8,9,37,What do you want!?!,Dwight,False
6,4,63,"Okay, here I come. [walks out in her wedding dress]",Pam,False
9,16,1,Yeah.,Andy,False
2,12,27,"Dwight, here, let me help you Dwight.",Pam,False
5,23,8,"No, they were your client.  They just called and told us they're switching over to Michael Scott Paper Company.",Charles,False
8,8,14,"Well, I was hoping to talk out some ideas with Andy. But what we have here... is perhaps better. By not going on the trip, you've shown you're the free-thinkers of the office.",Robert,False
2,13,46,All right. Jack Nicholson for birdie.,Michael,True
3,6,35,I didn't hear you. [laughs],Michael,False
5,10,44,"I know, right.  Merry Christmas.",Darryl,False
5,8,1,"NOOOO! GOD! No, God, please no! No! No! NOOO!",Michael,False
8,3,32,"No, Jim. Tell us why it's called SeÃ¯Â¿Â½Ã¯Â¿Â½or Loadenstein.",Andy,False
9,16,52,"I'll tell you why. Because...the floor...is...disgusting. Yeah, my trainer said everybody fails working out, that's how you win. Alright [tries to pull himself up] Ok. Kevin? A little help buddy?",Oscar,False
5,21,32,Great. Fax that to everyone on the distribution list.,Charles,False
2,12,2,I want to come to work.  But I need you to come and pick me up. [Jim lunges across Pam's desk and puts Michael on speakerphone],Michael,False
1,3,46,"[on his cell phone] Hey, hey Craigers, my man! It is Michael Scott here. [silence] Dunder Mifflin, we supply your office paper.",Michael,True
1,6,38,Thank you.,Katy,True
7,23,30,Yep.,Gabe,False
8,4,49,"I'm so sorry, I think I forgot that thing...",Jim,False
2,13,6,"Today is spring cleaning day here at Dunder Mifflin. And yes I know its January. I am not an idiot. But, if you do your Spring cleaning in January; guess what you don't have to do in the spring?  Anything.  They say a cluttered desk means a cluttered mind.  Well I say that an empty desk means a...",Michael,False
6,12,35,"How 'bout us? It's Meredith. By the way, your wife is a very lucky woman.",Meredith,False
9,2,47,You're the stupid one.,Nellie,False
7,24,80,"Well, okay!",Pam,False
4,2,44,OK.,Pam,False
4,4,64,Mmm.,Oscar,False
7,14,26,"I know what it smells like but I didn't roll in anything. It's from listening to all of Gabe's bull[bleep]. [laughter] 'Isn't this the perfect romantic getaway, Erin? Sitting on a deserted island wearing dog costumes? I'm Gabe and I'm a weirdo.'",Gabe,False
3,6,41,"I was in that marriage arena, though.",Michael,False
3,8,14,Ah! There he is Tony... what's your last name?,Michael,False
3,8,76,I can't say [clearinng throat noise]?,Dwight,False
6,17,24,Oh no no no!  Are you feeling ill?,Jo,False
7,12,27,How's your fart project coming?,Kevin,False
6,24,12,"Well, buy property. That's my advice.",Jo,False
2,14,47,"[on phone] Hey, Brenda.  This is, uh, Jim Halpert from the boat.  And I got your number from the corporate directory and, well, I was assuming that you probably gave it to them because you wanted me to ask you out, right?  Um, so gimme a call back.  You can get my number from said directory, um, or just check your e-mail 'cause I just sent you one.  Yikes.  Uh... give me a call back, I hope.  I'll talk to you later. Bye.",Jim,False
9,21,28,"Well, we just had a quick question about this decision of yours. You know, to leave a stable job and pursue a career in the entertainment business. In your late 30s. With no savings to fall back on. And no real connections in that business, which can be competitive.",Nellie,False
8,21,41,"And Andy is the manager, not Nellie!",Erin,False
5,8,15,"Yeah, yeah I'll see them.",Ryan,False
5,25,18,Wha -,Angela,False
5,10,45,Shhh... just calm down.,Michael,False
4,8,30,"Um, can you make it eleven?",Toby,False
9,23,97,You know what? Maybe we should talk.,Jim,False
4,4,49,"That's right, you did.",Pam,False
5,1,84,I like her purple dress.,Phyllis,False
6,6,7,"I inserted a listening device into the belly of the mallard. Now I can observe Jim, trap Jim, and destroy Jim, just like in the Bavarian fairy tale. Only this time, the mallard skins the toad alive. And of course in this version you lose the whole veiled critique of the Kaiser thing.",Dwight,False
9,16,18,"Ok, I know where you're going with this, and this is who I am now. I'm a douche. But look what I can do with my hands. [Pam laughs]",Jim,False
4,8,10,The warehouse got a ping pong table last week. Now Jim comes down and plays with Darryl. Sometimes I bring him juice. My boyfriend is 12.,Pam,False
6,4,76,Yes I did.,Pam,False
6,7,39,"No. It was a total waste of time. Um... it was fun, though, because I got to spend the day with Andy Bernard. He's really cool.",Pam,False
4,2,80,"To look younger, so the kid doesn't replace you with machines.",Creed,False
2,19,6,"Not necessary, the party planning committee is all over it.  They've been working twenty-four seven all day yesterday.",Michael,False
2,7,9,"No, no.  That would not be efficient.  Actually, they just don't get very much work done when I'm not here.  [Jan stares at Michael] That's not true.  I know how to delegate, and they do more work done when I'm not here.  Not more.  The same amount of work is done, whether I am here or not. [another Jan stare]  Hey, everybody, listen up.  This is what we're gonna do.  You sit tight, until I return.  Sound good?  Doesn't matter, it's an order.  Follow it blindly, mwahahaha, ok?  Alright, ciao.  [to Oscar] Adios!",Michael,False
8,6,29,Ohhhh!,Angela,False
5,24,34,"Oh, really?",Michael,False
6,19,27,So you like her?,Jim,False
2,19,2,Happy birthday Michael.,Pam,False
2,12,36,"Hey, Oscar?",Pam,False
9,23,53,Nard Dog! [cheers and claps] Ree-De-De-De-Doo! [repeats],All,False
8,3,13,Damn! [Dwight reverses pulling the wall with him. Erin screams. Dwight leaves forklift and begins lifting boxes by hand.],Kevin,False
5,20,24,"Yes, it is.",Michael,False
3,8,62,[holds up piece of paper] It wasn't clear on the Google Image search.,Dwight,False
7,14,14,"Ok, it's two giant dogs with two giant palm trees on a regular size island.",Kevin,False
3,21,28,Read the pros first.,Pam,False
6,23,39,"Okay. [Phyllis avoids looking at Michael] Phyllis. Okay. Look at me. [continues to look away] Phyllis, look at-- [Phyllis turns to leave] okay, that's... [chases after her] All right, all right. You know what? I'm sick of this. I'm sick of the little disapproving head shakes. If you think that's going to have any effect on me, it will not. I am going to leave right now and go to a motel to meet Donna.",Michael,False
8,15,10,Yes.,Jim,False
3,23,57,"Michael, good to see you!",David,False
1,3,3,"Well, it's a suicide mission, you know.",Michael,False
2,10,12,"[now wearing an elf hat and ears] Okay, everybody listen up! It is time to get your presents, wrap them, and place them under the tree like so. If you do not get your present wrapped and under the tree within the next five minutes you will be disqualified from Secret Santa. All right? No exceptions except Michael.",Dwight,False
6,16,22,You can do this.  You can do this.,Michael,False
2,20,48,"No, how could it reach the moon? Like, would you make it into a rope, or...",Oscar,True
7,14,18,What?,Holly,False
4,4,24,Not even Harry Potter?,Jim,False
4,10,14,What are you asking?,Phyllis,False
7,15,2,"Okay, one more quick one.",Holly,False
5,5,46,There you go.,Darryl,False
5,13,16,Oh my God! [Dwight has cut the face off the CPR dummy and put it over his own],Angela,False
8,10,47,You'll be fine over there.,Dwight,False
5,15,32,"Man, was he fat. So, so... fat. You know what, forget it. I know me. When I saw him, I would never be able to apologize to him. Too fat. Big fat fatty.",Michael,False
3,6,43,So good.,Jim,False
7,8,21,You have a gun in your desk?,Pam,False
3,2,36,I don't want ketchup.,Ryan,False
9,13,28,David.,Dwight,False
6,9,23,"Oooooo, doggie, we got a party now!",Michael,False
6,22,32,Jim is her husband.,Michael,False
8,5,39,Thirty-one.,Andy,False
3,18,46,"Um... no.  No, he has a girlfriend.",Pam,False
8,4,10,"See you all there at 3 p.m., Connecticut Casual, remember your manners, and have a wonderful time.",Andy,False
